area_type,location,size,total_sqft,bath,balcony,price
1,716,16,1577.0,3.0,1.0,70.0
2,820,17,4050.0,3.0,2.0,280.0
1,889,16,2420.0,3.0,2.0,185.0
1,304,13,800.0,1.0,1.0,20.0
0,116,13,1060.0,2.0,2.0,55.0
1,72,13,1270.0,2.0,2.0,93.0
1,1076,13,900.0,2.0,2.0,22.5
0,732,14,1280.0,2.0,1.0,69.0
2,533,19,1200.0,2.0,0.0,95.0
0,1039,13,1025.0,2.0,2.0,36.0
1,417,13,1108.0,2.0,1.0,63.0
2,763,22,1200.0,5.0,1.5843757375501535,170.0
1,345,16,3045.0,3.0,2.0,170.0
2,110,19,2900.0,3.0,2.0,300.0
1,1222,16,1500.0,3.0,2.0,75.5
1,972,13,1295.0,2.0,2.0,43.9
1,278,13,1162.0,2.0,1.0,59.9
1,1039,13,1035.0,2.0,2.0,49.2
0,152,19,1600.0,4.0,0.0,52.8
1,628,16,1464.0,3.0,2.0,46.0
1,522,16,1866.0,2.0,2.0,61.58
1,451,13,700.0,1.0,1.0,26.0
1,641,16,1804.0,3.0,2.0,120.0
1,1038,13,913.0,2.0,1.0,32.0
1,1141,16,1868.0,3.0,2.0,131.0
0,690,13,883.0,2.0,1.0,45.0
2,1121,14,900.0,2.0,1.0,110.0
1,707,16,1664.0,2.0,3.0,73.95
1,515,16,2026.0,3.0,2.0,132.0
1,188,13,1210.0,2.0,1.0,80.9
2,820,19,4111.0,4.0,2.0,250.0
1,635,16,1762.0,3.0,3.0,91.45
1,606,16,1252.0,3.0,3.0,55.0
0,461,13,861.0,2.0,1.0,34.5
0,72,16,1420.0,2.0,1.0,100.0
2,1105,24,1450.0,6.0,0.0,250.0
0,422,16,1490.0,3.0,1.0,78.8
1,268,16,1075.0,2.0,1.0,46.0
1,896,16,1425.0,2.0,2.0,94.0
0,641,13,1200.0,2.0,1.0,40.0
1,637,16,1280.0,2.0,2.0,56.0
1,1080,13,1084.0,2.0,2.0,50.0
1,304,13,1015.0,2.0,2.0,25.88
1,664,13,1017.0,2.0,1.0,51.25
1,506,13,1027.0,2.0,2.0,44.0
1,419,13,1069.0,2.0,2.0,45.0
1,513,13,1349.0,2.0,1.0,98.2
1,77,13,1005.0,2.0,1.0,50.0
1,584,13,1417.0,2.0,3.0,75.0
2,1138,17,1475.0,3.0,1.0,98.0
2,810,13,950.0,2.0,2.0,47.0
1,954,18,2000.0,4.0,0.0,120.0
2,453,17,880.0,3.0,1.0,140.0
1,1039,18,1863.0,3.0,2.0,104.0
1,1084,13,1010.0,2.0,1.0,29.5
1,641,16,1425.0,2.0,1.0,70.0
1,1222,16,1450.0,3.0,0.0,100.0
1,716,16,1847.0,3.0,2.0,105.0
1,80,13,1100.0,2.0,3.0,45.0
1,664,0,525.0,1.0,1.0,26.0
1,783,16,1665.0,3.0,2.0,95.0
1,231,18,1664.0,4.0,3.0,65.0
1,575,16,1850.0,3.0,3.0,150.0
1,914,13,1438.0,2.0,3.0,100.0
1,1122,16,1560.0,3.0,3.0,115.0
1,1261,13,1350.0,2.0,1.0,55.55
1,664,16,1550.0,3.0,3.0,67.0
1,785,13,1140.0,2.0,2.0,46.5
2,1105,22,1200.0,5.0,2.0,180.0
1,700,13,850.0,2.0,2.0,27.0
1,1252,13,1280.0,2.0,2.0,75.0
0,832,13,1170.0,2.0,2.0,52.0
1,826,13,1113.0,2.0,1.0,51.0
1,522,13,1385.0,2.0,1.0,83.09
1,417,13,1128.0,2.0,1.0,65.0
2,799,14,1200.0,2.0,2.0,128.0
2,99,19,1200.0,4.0,3.0,165.0
1,976,16,2390.0,3.0,2.0,415.0
2,453,19,2400.0,4.0,1.0,400.0
1,506,16,1464.0,3.0,2.0,56.0
1,788,13,1200.0,2.0,2.0,55.0
1,678,13,1200.0,2.0,2.0,52.0
1,638,16,1150.0,2.0,1.0,55.0
0,224,16,1645.0,3.0,2.0,95.0
1,1039,13,1000.0,2.0,1.0,67.0
2,506,19,2650.0,4.0,2.0,198.0
1,67,13,1192.0,2.0,2.0,74.0
1,1176,16,2135.0,3.0,2.0,215.0
1,1252,13,1173.0,2.0,1.0,58.0
0,1179,13,1020.0,2.0,2.0,45.0
1,1153,18,3122.0,6.0,2.0,230.0
1,1089,16,1600.0,3.0,3.0,64.0
2,1136,14,1200.0,2.0,0.0,79.0
2,830,13,1230.0,2.0,3.0,48.0
1,5,13,1250.0,2.0,2.0,40.0
1,641,13,1325.0,2.0,2.0,76.0
0,72,16,1850.0,3.0,1.0,150.0
1,664,0,525.0,2.6926096474673513,1.5843757375501535,21.53
1,225,13,1200.0,2.0,2.0,65.0
2,279,17,1350.0,2.0,0.0,140.0
1,270,16,1260.0,3.0,1.0,49.36
1,939,16,1800.0,3.0,0.0,150.0
2,1126,17,11.0,3.0,2.0,74.0
0,139,13,1100.0,2.0,1.0,43.25
1,509,13,1508.0,2.0,1.0,77.0
2,1032,16,1592.0,3.0,2.0,75.0
1,98,13,1388.0,2.0,3.0,57.0
1,419,0,630.0,1.0,1.0,28.35
2,953,17,2000.0,3.0,2.0,365.0
1,207,16,1762.0,3.0,1.0,125.0
1,186,13,950.0,2.0,2.0,50.0
1,705,18,3252.0,5.0,3.0,335.0
1,772,13,1116.0,2.0,1.0,50.0
1,869,13,1308.0,2.0,2.0,89.04
1,768,16,1200.0,3.0,0.0,90.0
2,266,19,1500.0,4.0,2.0,230.0
0,216,0,500.0,1.0,1.0,18.5
1,518,13,1075.0,2.0,1.0,52.0
1,304,0,530.0,1.0,0.0,11.66
0,236,13,1205.0,2.0,3.0,66.0
1,62,13,1075.0,2.0,2.0,60.0
0,626,13,930.0,2.0,2.0,39.0
1,188,13,1380.0,2.0,1.0,60.0
1,513,18,2483.0,5.0,2.0,212.0
0,703,13,1166.0,2.0,2.0,55.0
1,216,13,1050.0,2.0,1.0,65.0
1,463,16,2023.71,3.0,2.0,275.0
1,232,13,1200.0,2.0,2.0,46.8
1,745,16,1600.0,2.0,1.0,108.0
1,264,16,1935.0,3.0,2.0,110.0
1,74,0,451.0,1.0,0.0,29.9
1,417,16,1800.0,3.0,2.0,95.0
1,589,16,1400.0,3.0,0.0,77.0
1,515,16,1801.0,3.0,2.0,115.0
0,773,13,1451.0,2.0,1.5843757375501535,90.0
2,126,14,1200.0,1.0,1.0,36.0
1,232,13,1160.0,2.0,2.0,44.0
0,688,13,1000.0,2.0,1.0,25.0
1,664,13,950.0,2.0,1.0,40.0
0,531,16,1629.0,3.0,2.0,79.0
0,1222,16,1580.0,2.0,0.0,134.0
1,1222,16,1826.0,3.0,2.0,121.0
0,72,13,1245.0,2.0,1.0,94.0
1,972,13,1145.0,2.0,2.0,45.79
1,1091,13,825.0,2.0,1.0,33.0
1,1267,16,1693.0,3.0,3.0,108.0
1,422,13,1113.27,2.0,2.0,53.0
0,144,13,1460.0,2.0,1.0,58.0
0,396,13,1050.0,2.0,1.0,32.0
0,382,13,1260.0,2.0,2.0,55.0
1,617,23,700.0,3.0,1.5843757375501535,120.0
0,544,13,1656.0,2.0,1.0,120.0
1,304,16,1208.0,3.0,1.0,45.0
1,1252,16,1910.0,3.0,2.0,161.0
1,1252,18,3252.0,4.0,1.0,230.0
2,230,14,1200.0,2.0,1.0,65.0
1,458,18,1200.0,4.0,1.0,175.0
1,72,13,1175.0,2.0,1.0,82.0
2,647,14,1000.0,2.0,0.0,165.0
2,216,19,1200.0,2.0,0.0,125.0
1,976,16,2390.0,3.0,2.0,410.0
1,976,25,12000.0,6.0,3.0,2200.0
2,1118,14,550.0,1.0,1.0,62.0
1,688,0,1559.6266939129125,1.0,0.0,18.5
1,1035,13,1185.0,2.0,1.5843757375501535,38.0
1,688,13,750.0,2.0,1.0,38.0
2,775,24,1200.0,7.0,3.0,250.0
1,664,16,1550.0,3.0,3.0,64.5
0,112,16,1760.0,3.0,2.0,88.0
1,264,13,1125.0,2.0,2.0,62.0
2,848,17,1350.0,3.0,2.0,150.0
2,118,14,1000.0,2.0,1.0,55.0
0,271,13,1090.0,2.0,2.0,31.48
2,1138,14,1200.0,2.0,0.0,60.0
1,278,16,1991.0,4.0,2.0,103.0
1,270,13,1060.0,2.0,1.0,26.5
1,108,13,1105.0,2.0,1.0,75.0
0,530,13,985.0,2.0,2.0,67.0
2,304,24,1533.0,5.0,3.0,85.0
1,188,16,1590.0,3.0,2.0,79.0
1,292,13,1120.0,2.0,2.0,55.0
1,1028,13,1069.0,2.0,1.0,55.0
1,799,16,1933.0,3.0,2.0,140.0
0,544,13,1194.0,2.0,0.0,69.0
1,277,13,1150.0,2.0,3.0,69.0
1,1264,13,1240.0,2.0,2.0,47.12
1,972,13,1419.0,2.0,2.0,48.1
2,72,28,1200.0,8.0,1.5843757375501535,250.0
1,1006,16,2150.0,4.0,1.5843757375501535,240.0
1,1116,16,1450.0,3.0,2.0,55.0
1,1173,16,1630.0,3.0,2.0,68.29
1,358,13,708.0,1.0,1.0,40.0
2,670,17,1000.0,4.0,3.0,110.0
2,1252,19,11890.0,4.0,3.0,700.0
1,236,13,1250.0,2.0,1.0,76.0
1,72,16,1400.0,2.0,1.0,95.0
1,1039,16,1670.0,2.0,3.0,57.0
1,139,16,1750.0,3.0,2.0,100.0
1,1242,13,1404.0,2.0,1.0,71.0
1,530,16,1715.0,2.0,2.0,95.0
0,417,0,630.0,1.0,1.0,34.65
1,509,16,1752.12,3.0,2.0,135.0
1,549,16,1650.0,3.0,2.0,78.0
1,972,13,1295.0,2.0,1.0,55.47
2,453,17,1800.0,3.0,2.0,252.0
1,1039,13,1346.0,2.0,1.0,74.03
2,1154,19,1200.0,4.0,2.0,200.0
1,535,13,1150.0,2.0,2.0,55.0
0,321,19,3309.0,4.0,3.0,325.0
1,304,16,1190.0,2.0,2.0,30.35
1,80,16,1620.0,3.0,2.0,98.0
1,799,13,950.0,2.0,1.0,46.96
1,15,5,5000.0,9.0,3.0,360.0
1,509,16,2450.0,3.0,0.0,120.0
1,419,16,1220.0,2.0,1.0,35.23
1,547,13,850.0,2.0,1.0,30.0
0,907,13,1020.0,2.0,2.0,63.0
0,326,13,1100.0,2.0,2.0,50.0
1,362,13,1150.0,2.0,2.0,126.0
1,513,16,1760.0,2.0,2.0,130.0
1,108,16,1800.0,3.0,3.0,110.0
1,98,13,1070.0,2.0,1.0,54.0
2,43,19,1500.0,4.0,2.0,220.0
2,1216,14,1440.0,2.0,0.0,95.0
1,114,13,900.0,2.0,1.0,40.0
0,555,18,1200.0,4.0,1.0,230.0
1,1252,13,1130.0,2.0,1.0,42.16
1,713,13,1320.0,2.0,1.0,165.0
1,704,13,1270.0,2.0,1.0,98.0
0,920,13,1200.0,2.0,1.0,62.0
1,1007,18,4800.0,4.0,1.5843757375501535,235.0
1,842,13,1200.0,2.0,1.0,74.0
1,1115,13,929.0,2.0,0.0,50.17
0,954,18,1150.0,4.0,2.0,260.0
2,223,19,1125.0,4.0,3.0,180.0
2,686,22,500.0,3.0,2.0,65.0
2,47,22,1200.0,5.0,2.0,190.0
1,628,16,1464.0,3.0,2.0,56.0
1,72,18,3600.0,4.0,3.0,400.0
2,213,19,2000.0,4.0,2.0,99.0
1,326,13,1208.0,2.0,1.0,49.0
1,514,13,1130.0,2.0,2.0,60.0
1,1125,16,1753.0,3.0,2.0,120.0
1,896,21,4500.0,7.0,3.0,337.0
2,212,17,600.0,3.0,2.0,58.0
1,530,13,1196.0,2.0,2.0,94.42
0,62,13,1150.0,3.0,3.0,52.5
1,417,13,1128.0,2.0,1.0,63.0
1,900,13,1000.0,2.0,1.0,53.0
1,1261,13,1035.0,2.0,1.0,45.0
0,694,13,950.0,2.0,1.0,32.0
1,268,16,1075.0,2.0,1.0,36.0
1,1252,13,1040.0,2.0,1.0,48.5
2,797,14,720.0,2.0,1.0,45.0
1,757,16,1511.0,3.0,1.0,95.0
0,1079,16,1300.0,3.0,1.0,58.0
1,530,16,1545.0,3.0,1.0,68.75
0,1059,0,375.0,2.0,0.0,26.0
1,1216,13,1062.0,2.0,3.0,38.0
1,631,13,1115.0,2.0,1.0,40.0
1,575,13,1000.0,2.0,1.0,35.0
1,650,13,883.0,2.0,1.0,45.0
1,1039,13,1195.0,2.0,1.0,70.0
2,172,19,1200.0,3.0,1.0,165.0
0,816,1,700.0,1.0,0.0,41.0
1,1242,13,1246.0,2.0,1.0,67.0
2,74,19,660.0,4.0,2.0,90.0
2,203,19,8500.0,4.0,2.0,145.0
1,671,18,1600.0,4.0,1.0,80.0
1,506,18,2805.0,5.0,3.0,154.0
1,232,16,1584.0,3.0,1.5843757375501535,65.0
2,1053,19,3000.0,5.0,1.0,275.0
0,544,16,1175.0,2.0,2.0,48.0
0,1266,16,1595.0,3.0,2.0,115.0
1,1183,13,1353.0,2.0,2.0,110.0
1,417,16,1599.0,3.0,2.0,125.0
1,1252,13,1150.0,2.0,1.0,70.0
1,584,18,5230.0,6.0,1.0,465.0
1,626,13,1155.0,2.0,2.0,42.74
0,570,0,1200.0,2.0,0.0,85.0
1,419,13,1000.0,2.0,1.0,25.0
1,1148,18,3000.0,4.0,1.5843757375501535,120.0
0,986,16,1867.0,3.0,1.0,160.0
1,987,13,1251.0,2.0,1.0,47.0
1,444,13,1028.0,2.0,1.0,45.5
1,142,13,1222.0,2.0,2.0,45.0
1,216,16,1170.0,2.0,1.0,66.0
1,513,16,2400.0,4.0,1.0,245.0
1,994,16,1385.0,2.0,2.0,48.48
1,494,13,1372.0,2.0,1.0,68.0
1,772,16,1282.0,2.0,2.0,49.0
1,822,29,5000.0,9.0,3.0,210.0
0,70,22,3000.0,3.0,1.0,528.0
1,664,13,1135.0,2.0,1.0,39.73
0,1252,16,1768.0,3.0,2.0,101.0
0,283,16,1325.0,2.0,1.0,90.0
1,417,16,1599.0,3.0,2.0,99.0
2,1252,17,1500.0,3.0,1.0,61.95
2,40,17,2610.0,3.0,0.0,499.0
1,1179,13,1286.0,2.0,2.0,63.0
0,653,21,2845.0,5.0,1.0,140.0
1,616,16,1600.0,2.0,1.5843757375501535,50.0
1,522,13,1317.5,2.0,0.0,63.77
1,513,16,3450.0,5.0,2.0,260.0
1,832,13,1102.0,2.0,2.0,53.67
1,1261,13,1350.0,2.0,2.0,54.0
1,194,16,1200.0,2.0,2.0,42.0
2,536,24,1300.0,6.0,0.0,145.0
2,523,14,1800.0,1.0,1.0,80.0
0,319,13,950.0,2.0,1.0,40.0
1,664,0,525.0,1.0,1.0,27.25
0,152,13,656.0,2.0,1.0,25.0
2,799,19,1780.0,4.0,3.0,175.0
1,47,13,1056.0,2.0,1.0,80.0
1,216,0,595.0,1.0,1.0,33.32
0,570,13,1080.0,2.0,2.0,50.0
1,72,16,2225.0,3.0,1.0,160.0
1,270,13,1126.0,2.0,1.0,28.15
1,422,16,1490.0,3.0,1.0,84.0
2,493,19,2000.0,4.0,1.0,300.0
1,1039,16,1550.0,3.0,3.0,100.0
1,1305,16,1600.0,3.0,2.0,86.0
0,149,13,1160.0,2.0,1.0,55.0
0,1252,19,4144.0,4.0,3.0,315.0
1,1039,16,2100.0,3.0,2.0,125.0
1,1242,13,1404.0,2.0,1.0,69.3
2,1039,19,2230.0,4.0,3.0,225.0
1,800,16,1544.0,3.0,1.5843757375501535,120.0
1,203,16,1305.0,2.0,1.0,58.7
1,799,13,1230.0,2.0,2.0,80.0
2,1136,14,1200.0,2.0,0.0,65.0
1,509,16,1460.0,3.0,1.0,73.0
2,1039,13,1800.0,2.6926096474673513,1.5843757375501535,34.185
0,466,13,967.0,2.0,3.0,45.0
0,283,1,540.0,1.0,1.0,36.0
1,535,0,715.0,1.0,2.0,46.0
1,1252,16,2500.0,3.0,2.0,313.0
1,406,16,1578.0,3.0,1.0,180.0
1,837,13,1020.0,2.0,1.0,48.95
1,606,13,1020.0,2.0,1.0,40.0
1,713,13,1253.0,2.0,1.0,102.0
1,574,13,1180.0,2.0,2.0,42.0
1,879,13,961.0,2.0,2.0,38.0
0,658,16,1419.0,3.0,3.0,75.0
1,509,16,1709.0,3.0,2.0,150.0
2,917,14,1600.0,2.0,0.0,115.0
1,1205,0,416.0,1.0,1.0,18.5
2,1033,13,1100.0,2.0,2.0,98.0
1,494,16,1430.0,2.0,1.0,65.0
1,1087,13,1260.0,2.0,2.0,45.0
